1005,	 "(42.99548, -74.3346)",	 "Thu Jan 01 09:00:00 UTC 2015",	 "false",	 "Grandma Millie''s Bakery",	 "160 County Highway 153, Johnstown, NY 12095",	 "1420102800446",	 "",	 "",	 ""
1005,	 "(38.55343, -89.9607)",	 "Fri Jan 02 09:00:00 UTC 2015",	 "true",	 "Shenanigans Bar and Grill",	 "6401 W Main St, Belleville, IL 62223",	 "1420189200446",	 "4 of 5 stars",	 "Great Pot Roast",	 "The pot roast was the best I have ever had. Paired with the mashed potatoes and gravy it was awesome."
1005,	 "(38.8137, -89.9583)",	 "Fri Jan 02 17:35:09 UTC 2015",	 "true",	 "Lost Arts & Antiques",	 "254 North Main Street, Edwardsville, IL",	 "1420220109446",	 "5 of 5 stars",	 "Charming Shop",	 "This is a lovely little shop staffed by knowledgeable people. The objects of Art are unique and of the highest quality."
1005,	 "(46.37931, -89.6943)",	 "Sat Jan 03 09:00:00 UTC 2015",	 "true",	 "Wild river cafe",	 "321 Fair Avenue, Marenisco, MI 49947",	 "1420275600446",	 "",	 "",	 ""
1005,	 "(43.1897, -89.9224)",	 "Sun Jan 04 09:00:00 UTC 2015",	 "true",	 "The Round Barn Restaurant",	 "E4830 Us Highway 14 and 60, Spring Green, WI",	 "1420362000446",	 "5 of 5 stars",	 "Neat place, plus great food.",	 "Many Antiques, guns on the wall. The food was great. Atmosphere super, quiet enough to hear people talking at your table."
1005,	 "(43.16298, -89.92162)",	 "Sun Jan 04 14:58:24 UTC 2015",	 "true",	 "Shfflet Riverside",	 "s13220 Shifflet Road, Spring Green, WI",	 "1420383504446",	 "4 of 5 stars",	 "pleasant surprise",	 "Found this place by accident while trying to find the other riverside view.It is a resort / restaurant / sports bar with outside seating (picnic tables) and a river view.Food was good, view was great, and a very northwoods feel. The kids liked it too.only downside was plastic glasses for the soda and beer. (not disposables, but..."
1005,	 "(39.0721, -89.7273)",	 "Mon Jan 05 09:00:00 UTC 2015",	 "true",	 "Little Italy''s Pizza",	 "110 W Main St, Mount Olive, IL 62069-1638",	 "1420448400446",	 "3 of 5 stars",	 "The takeout pizza was ok.",	 "The takeout pizza was just ok. It wasn''t anything special. A large pizza was about 12 bucks. Maybe check out the other pizza places in town first. This place does have more than just pizza though."
1005,	 "(38.62888, -89.7298)",	 "Mon Jan 05 21:34:23 UTC 2015",	 "true",	 "Saint Louis Science Center",	 "5050 Oakland Ave, Saint Louis, MO 63110",	 "1420493663446",	 "5 of 5 stars",	 "I love this place",	 "This isn''t just for kids. I LOVE bringing kids here but I also love exploring the place myself!"
1005,	 "(42.7463, -74.6348)",	 "Tue Jan 06 09:00:00 UTC 2015",	 "false",	 "Crick Water Grill",	 "1728 E Richards St, Douglas, WY 82633",	 "1420534800446",	 "",	 "",	 ""
1005,	 "(43.051, -74.3387)",	 "Wed Jan 07 09:00:00 UTC 2015",	 "false",	 "Rob & Crystals All American Family Restaurant",	 "122 East Fulton Street, Gloversville, NY 12078",	 "1420621200446",	 "",	 "",	 ""
1005,	 "(43.7824, -74.2655)",	 "Thu Jan 08 09:00:00 UTC 2015",	 "false",	 "Indian Lake Restaurant & Tavern",	 "2 West Main Street, Indian Lake, NY 12842",	 "1420707600446",	 "5 of 5 stars",	 "Excellent !",	 "Excellent service, great food & service and reasonable prices !! We will go back again. Our group of 6 were seated as soon as we walked in. The staff was very friendly. Shortly after ordering our food the waitress brought out our order, everything was delicious!"
1005,	 "(43.77861, -74.2649)",	 "Thu Jan 08 10:04:51 UTC 2015",	 "false",	 "Puterko''s Family Pizzeria",	 "6240 NYS Route 30, Indian Lake, NY 12842",	 "1420711491446",	 "4 of 5 stars",	 "Great place for a quick meal",	 "We were really happy to see Puterko''s open up again after many years without a Pizzeria in Indian Lake. It is a family operation with good food and good service at a reasonable price.We get dinner there regularly when staying at our camp."
1005,	 "(43.7824, -74.2643)",	 "Thu Jan 08 11:11:31 UTC 2015",	 "false",	 "Adventure Sports Rafting Company",	 "6127 NYS Route 28, Indian Lake, NY 12842",	 "1420715491446",	 "5 of 5 stars",	 "Mid-summer whitewater rafting",	 "Great operation - professionally run, friendly, and they made sure the day was fun. Mid-trip snack can be improved, but the barbecue at the end of the trip was super. I had a great time with my two sons. Stuck on rocks, had a chance to swim in the Hudson and the boys jumped off a very high rock (all..."
1005,	 "(43.782, -74.26781)",	 "Thu Jan 08 13:14:58 UTC 2015",	 "false",	 "The Pig II Deli",	 "13 W Main St, Indian Lake, NY 12842-1501",	 "1420722898446",	 "4 of 5 stars",	 "Good Breakfast, Delicious Lunches and To Go Dinners",	 "A small restaurant with your typical breakfast and deli style lunch fare. There is not a lot of seating, but usually you can find a seat. The locals go here for breakfast and is a favorite lunch stop. There are also dinners available to go if you call ahead. All the food is homemade by the owner and has the..."
1005,	 "(41.68559, -72.65491)",	 "Fri Jan 09 09:00:00 UTC 2015",	 "true",	 "Giovanni''s Brick Oven Pizzeria",	 "1279 Silas Deane Hwy, Wethersfield, CT 06109",	 "1420794000446",	 "4 of 5 stars",	 "Slice mania",	 "Love being able to have so many chooses for slices of pizza. Great salads always fresh. My kids love the place."
1005,	 "(41.69211, -72.6562)",	 "Fri Jan 09 11:09:15 UTC 2015",	 "true",	 "Chimirri''s Italian Pastry",	 "1075 Silas Deane Hwy, Wethersfield, CT 06109",	 "1420801755446",	 "5 of 5 stars",	 "Always Excellent",	 "We haven?t tasted everything at Chimirri?s yet, but everything we?ve tried has been fresh and carefully prepared. Our favorite is cannoli, but allow a little extra time for that because they fill them when you order to keep the pastry shells crisp. Choose chocolate cream, pastry cream, or traditional ricotta filling, they?re all delicious. After filling the shells, they dip..."
1005,	 "(41.6828, -72.6558)",	 "Fri Jan 09 12:23:05 UTC 2015",	 "true",	 "Wood-N-Tap",	 "12 Town Line Rd, Rocky Hill, CT 06067-1241",	 "1420806185446",	 "4 of 5 stars",	 "Solid choice for All-American dining",	 "We went there early October for CT restaurant week - so we were just ordering from the special menu. Everything was tasty and the portions were huge. I had ordered bratwurst - 3 large sausages came along with a mix of sweet, blue and regular potatoes, as well as applesauce and red cabbage. You won''t find anything really special or..."
1005,	 "(41.69414, -72.6567)",	 "Fri Jan 09 14:40:23 UTC 2015",	 "true",	 "Puket Cafe Thai Cuisine",	 "945 Cromwell Ave, Rocky Hill (The Wethersfield One Is Gone), Wethersfield, CT 06109-4231",	 "1420814423446",	 "5 of 5 stars",	 "Love every bite of it",	 "To start, they have an amazing staff who are so pleasantly polite. The food is almost 100% authentic but includes a modest flare of American spices. I love going here and cannot find anything on the menu that I don''t like. Try it and you''ll keep going back."
1005,	 "(41.69089, -72.6561)",	 "Fri Jan 09 16:44:27 UTC 2015",	 "true",	 "Tilted Kilt Pub & Eatery",	 "1151 Silas Deane Hwy, Wethersfield, CT 06109-4301",	 "1420821867446",	 "4 of 5 stars",	 "Great food and friendly atmosphere",	 "I frequent this establishment quite often and I must say I have never had a bad experience. The waitstaff is always helpful and on point. The amount of customer service is commendable. The food is always hot and fresh."
